propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;SECTOR
0;1170;261;168;303;666;
1;1260;1377;493;404;963;
2;1290;1292;804;1363;626;
3;1300;538;475;671;714;
4;1350;808;647;713;1189;
5;1359;79;143;48;118;
6;1450;941;994;1230;466;
7;1498;157;211;108;205;
8;1530;584;1289;910;825;
9;1550;8;75;184;152;
10;1550;21;17;115;128;
11;1550;22;8;188;167;
12;1550;72;74;191;150;
13;1550;36;26;148;148;
14;1170;278;194;339;943;
15;1260;733;459;1272;1299;
16;1290;1217;507;758;721;
17;1300;1005;1294;1308;416;
18;1350;547;735;1020;920;
19;1359;16;109;89;176;
20;1450;469;989;1337;986;
21;1498;123;265;112;248;
22;1530;1004;587;1249;464;
23;1550;76;49;169;182;
24;1550;13;43;111;179;
25;1550;72;28;162;191;
26;1550;85;17;130;149;
27;1550;51;43;132;125;
28;1550;1313;818;1215;637;
29;1610;37;242;40;118;
30;1620;187;255;132;240;
31;1660;173;222;116;206;
32;1660;73;167;179;198;
33;1690;777;485;1372;1207;
34;1700;1359;1154;433;437;
35;1742;82;44;361;253;
36;1750;74;156;262;61;
37;1802;195;379;138;106;
38;1802;22;386;79;291;
39;1810;1274;1321;668;1048;
40;1828;920;962;682;1115;
41;1831;84;82;262;83;
42;1850;28;188;46;345;
43;1860;892;1063;1067;837;
44;1860;184;134;243;106;
45;1870;551;848;873;524;
46;1875;31;18;280;149;
47;1877;74;66;195;183;
48;1879;887;674;585;425;
49;1887;785;1210;676;624;
50;1890;541;1123;728;1292;
51;1890;503;645;770;869;
52;1890;1375;1154;589;862;
53;1899;125;151;15;194;
54;1915;192;226;84;325;
55;1925;535;1290;786;1251;
56;1950;51;163;18;184;
57;1965;68;141;294;122;
58;1990;171;173;83;253;
59;1995;6;183;134;98;
60;1999;21;36;291;320;
61;1999;79;72;183;191;
62;2007;64;148;65;256;
63;2010;915;417;1019;793;
64;2056;36;247;14;123;
65;2060;14;3;1293;68;
66;2065;121;65;671;95;
67;2100;3;364;222;240;
68;2100;149;148;286;176;
69;2100;107;106;276;183;
70;2105;1334;708;774;557;
71;2137;15;241;308;211;
72;2137;93;83;58;80;
73;2142;451;1163;690;839;
74;2149;93;64;218;367;
75;2150;1159;873;1144;977;
76;2150;98;219;211;326;
77;2164;25;173;19;122;
78;2174;286;734;123;335;
79;2180;736;1044;455;476;
80;2190;25;11;11;78;
81;2200;980;495;1338;762;
82;2200;44;90;167;104;
83;2205;180;80;126;163;
84;2212;92;158;276;105;
85;2227;265;288;208;219;
86;2240;68;136;684;139;
87;2250;513;903;865;576;
88;2263;295;584;103;319;
89;2310;1023;1308;851;812;
90;2340;720;490;1032;1010;
91;2350;894;116;45;87;
92;2350;62;226;782;39;
93;2390;19;295;322;67;
94;2407;218;608;136;381;
95;2430;104;173;217;366;
96;2450;13;24;220;215;
97;2500;688;1393;416;825;
98;2500;903;1233;570;1315;
99;2500;41;154;252;189;
100;2550;6;207;378;382;
101;2580;300;127;256;138;
102;2580;142;27;124;5;
103;2628;6;173;278;343;
104;2649;84;285;84;299;
105;2650;55;158;34;34;
106;2690;1176;1116;558;564;
107;2690;68;261;117;77;
108;2700;189;162;198;368;
109;2758;265;540;195;385;
110;2800;26;71;61;181;
111;2819;65;78;293;179;
112;2835;1096;818;1374;1285;
113;2835;531;1031;959;1355;
114;2979;229;174;105;238;
115;2990;119;171;86;187;
116;3000;102;292;207;198;
117;3000;151;194;79;127;
118;3090;77;11;255;1;
119;3200;155;25;108;75;
120;3313;221;588;146;323;
121;3380;89;204;23;65;
122;3459;296;15;219;187;
123;3491;64;11;135;89;
124;3496;98;131;135;141;
125;3499;610;60;502;575;
126;3550;899;1330;769;1383;
127;3591;287;197;356;201;
128;3592;290;23;418;1153;
129;3674;10;79;57;248;
130;3679;22;210;33;315;
131;3803;165;7;265;204;
132;3920;80;155;383;141;
133;3941;326;70;15;200;
134;4100;230;185;114;275;
135;4100;246;193;41;724;
136;4170;35;228;68;31;
137;4392;827;1210;1043;1052;
138;4490;343;246;197;165;
139;4543;167;46;158;144;
140;4561;116;161;104;245;
141;4570;533;1387;1014;547;
142;4790;177;113;228;308;
143;4800;1113;1048;582;1289;
144;4819;68;231;246;79;
145;4819;266;117;223;135;
146;4950;1231;1246;1301;1284;
147;5067;229;12;72;24;
148;5069;81;159;181;97;
149;5105;160;97;288;121;
150;5178;103;349;1368;1341;
151;5200;224;206;1142;1184;
152;5269;489;528;635;812;
