propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA
0;1170;261;168;303;666
1;1260;1377;493;404;963
2;1290;1292;804;1363;626
3;1300;538;475;671;714
4;1350;808;647;713;1189
5;1359;79;143;48;118
6;1450;941;994;1230;466
7;1498;157;211;108;205
8;1530;584;1289;910;825
9;1550;8;75;184;152
10;1550;21;17;115;128
11;1550;22;8;188;167
12;1550;72;74;191;150
13;1550;36;26;148;148
14;1170;278;194;339;943
15;1260;733;459;1272;1299
16;1290;1217;507;758;721
17;1300;1005;1294;1308;416
18;1350;547;735;1020;920
19;1359;16;109;89;176
20;1450;469;989;1337;986
21;1498;123;265;112;248
22;1530;1004;587;1249;464
23;1550;76;49;169;182
24;1550;13;43;111;179
25;1550;72;28;162;191
26;1550;85;17;130;149
27;1550;51;43;132;125
28;1550;1313;818;1215;637
29;1610;37;242;40;118
30;1620;187;255;132;240
31;1660;173;222;116;206
32;1660;73;167;179;198
33;1690;777;485;1372;1207
34;1700;1359;1154;433;437
35;1742;82;44;361;253
36;1750;74;156;262;61
37;1802;195;379;138;106
38;1802;22;386;79;291
39;1810;1274;1321;668;1048
40;1828;920;962;682;1115
41;1831;84;82;262;83
42;1850;28;188;46;345
43;1860;892;1063;1067;837
44;1860;184;134;243;106
45;1870;551;848;873;524
46;1875;31;18;280;149
47;1877;74;66;195;183
48;1879;887;674;585;425
49;1887;785;1210;676;624
50;1890;541;1123;728;1292
