gid;uso_tierra;uso;subuso;estructura;nom_com
22584;Corridas de Lava y Escoriales;Areas Sin Vegetacion;Corridas de Lava y Escoriales;No Aplica;FUTRONO
13845;Playas y Dunas;Areas Sin Vegetacion;Playas y Dunas;No Aplica;MARIQUINA
34687;Derrumbes Sin Vegetacion;Areas Sin Vegetacion;Derrumbes Sin Vegetacion;No Aplica;PANGUIPULLI
35596;Areas Sobre Limite Vegetacion;Areas Sin Vegetacion;Areas Sobre Limite Vegetacion;No Aplica;PANGUIPULLI
36267;Praderas Perennes;Praderas y Matorrales;Praderas;Perennes;PANGUIPULLI
36331;Praderas Perennes;Praderas y Matorrales;Praderas;Perennes;PANGUIPULLI
37448;Praderas Perennes;Praderas y Matorrales;Praderas;Perennes;PANGUIPULLI
37783;Praderas Perennes;Praderas y Matorrales;Praderas;Perennes;PANGUIPULLI
37934;Matorral Pradera Semidenso;Praderas y Matorrales;Matorral-Pradera;No Aplica;FUTRONO
62;Praderas Perennes;Praderas y Matorrales;Praderas;Perennes;LA UNION
