id,fecha,venta_total,descuento,direccion,comuna
12510,"2006-07-06 00:00:00",27000,0,"ALAMEDA 3431 E CENTRAL",E.CENTRAL
12511,"2006-07-10 00:00:00",217500,0,"ALAMEDA 3421 E CENTRAL",E.CENTRAL
12520,"2006-07-06 00:00:00",242400,0,"AVENIDA LIBERTADOR BERNARDO O HIGGINS 2883",SANTIAGO
12521,"2006-07-06 00:00:00",65000,0,"AHUMADA 85 LOCAL 205",SANTIAGO
12522,"2006-07-07 00:00:00",63520,0,"FRANKLIN 987",SANTIAGO
12523,"2006-07-07 00:00:00",30000,0,"SAN DIEGO 824",SANTIAGO
12526,"2006-07-07 00:00:00",76500,0,"SAN DIEGO 802",SANTIAGO
12000,"2006-07-10 00:00:00",109520,0,"SIERRA BELLA 1125",SANTIAGO
0,"2006-07-10 00:00:00",56520,0,-,-
1,"2006-07-10 00:00:00",364050,0,"AHUMADA 85 LOCAL 205",SANTIAGO
2,"2006-07-10 00:00:00",428697,0,-,-
3,"2006-07-10 00:00:00",11232,0,-,-
4,"2006-07-10 00:00:00",82935,0,-,-
12509,"2006-07-10 00:00:00",52800,0,"ALAMEDA 3409 E CENTRAL",E.CENTRAL
12527,"2006-07-10 00:00:00",27000,0,"ALAMEDA 3431 E CENTRAL",E.CENTRAL
12519,"2014-01-28 00:00:00",308700,10,"CINCO ORIENTE 2138",TALCA
12508,"2006-07-10 00:00:00",121200,0,"FRANKLIN 899",SANTIAGO
5,"2006-07-10 00:00:00",85000,0,-,-
6,"2006-07-11 00:00:00",347770,0,-,-
7,"2006-07-11 00:00:00",64620,0,"PEDRO DE VALDIVIA 3462 LOCAL 48 A Ã‘UÃ‘OA",Ã‘UÃ‘OA
12525,"2006-07-11 00:00:00",27550,0,"SAN DIEGO 815",SANTIAGO
12517,"2006-07-11 00:00:00",50572,0,"DIAGONAL CERVANTES 721",SANTIAGO
12513,"2006-07-11 00:00:00",65760,0,"PASAJE PINOCHET LE BUIN 65",MAIPU
12516,"2006-07-11 00:00:00",180560,0,"DIAGONAL CERVANTES 611 LOCAL 30",SANTIAGO
12528,"2006-07-11 00:00:00",139000,0,"ALAMEDA 3421 E CENTRAL",E.CENTRAL
12515,"2006-07-12 00:00:00",16000,0,"SAN DIEGO 894",SANTIAGO
12514,"2006-07-12 00:00:00",45600,0,"SAN DIEGO 824",SANTIAGO
12518,"2006-07-12 00:00:00",119430,0,"FRANKLIN 987",SANTIAGO
8,"2006-07-12 00:00:00",189909,0,-,-
9,"2006-07-12 00:00:00",188100,0,"PEDRO DE VALDIVIA 3462 LOCAL 48 A Ã‘UÃ‘OA",Ã‘UÃ‘OA
12529,"2006-07-12 00:00:00",424350,0,"AHUMADA LOCAL 205 B",SANTIAGO
10,"2006-07-12 00:00:00",190935,0,-,-
12530,"2006-07-12 00:00:00",42000,0,"ALAMEDA 2859",SANTIAGO
12531,"2006-07-13 00:00:00",86380,0,"EL SALTO CHICO 1439",RECOLETA
12532,"2006-07-13 00:00:00",129200,0,"RICARDO MORELES 3361","SAN MIGUEL"
12533,"2006-07-14 00:00:00",117500,0,"A LOPEZ DE BELLO 8252",INDEPENDENCIA
12534,"2006-07-14 00:00:00",136925,0,"FRANKLIN 987",SANTIAGO
11,"2006-07-14 00:00:00",43139,0,-,-
12,"2006-07-14 00:00:00",77760,0,-,-
13,"2006-07-14 00:00:00",250200,0,-,-
12535,"2006-07-14 00:00:00",55000,0,"ALAMEDA 3421 E CENTRAL",E.CENTRAL
14,"2006-07-14 00:00:00",93197,0,-,-
15,"2006-07-14 00:00:00",7268,0,-,-
16,"2006-07-14 00:00:00",103716,0,"LIBERTAD 1345",SANTIAGO
12536,"2006-07-17 00:00:00",181000,0,"FREIRE 284 11",11
12537,"2006-07-17 00:00:00",270200,0,"ALAMEDA 3409 E CENTRAL",E.CENTRAL
12538,"2006-07-17 00:00:00",46800,0,"BANDERA 891",SANTIAGO
12539,"2006-07-17 00:00:00",42000,0,"AHUMADA LOCAL 205 B",SANTIAGO
12540,"2006-07-17 00:00:00",343000,0,"ALAMEDA 3427 E CENTRAL",E.CENTRAL
12541,"2006-07-17 00:00:00",158030,0,"SAN DIEGO 993",SANTIAGO
12542,"2006-07-17 00:00:00",156000,0,"ALAMEDA 3431 E CENTRAL",E.CENTRAL
12543,"2006-07-17 00:00:00",25290,11.6782,"FRANKLIN 987",SANTIAGO
12544,"2006-07-18 00:00:00",132600,15,"CINCO ORIENTE 2138",TALCA
12549,"2006-07-20 00:00:00",271700,0,"AHUMADA LOCAL 205 B",SANTIAGO
12550,"2006-07-20 00:00:00",135850,5.89399,"ALDUNATE 1447",SANTIAGO
12552,"2006-07-24 00:00:00",116590,0,"ESPERANZA 5",SANTIAGO
12553,"2006-07-24 00:00:00",72000,0,"ALAMEDA 3421 E CENTRAL",E.CENTRAL
12554,"2006-07-25 00:00:00",137750,5.89402,"RICARDO MORALES 3361","SAN MIGUEL"
12555,"2006-07-25 00:00:00",948000,0,"AVENIDA PARRON 1845","SAN RAMON"
12556,"2006-07-25 00:00:00",203300,0,"FREIRE 284 11",11
17,"2006-07-26 00:00:00",123320,0,"LIBERTAD 1345",SANTIAGO
18,"2006-07-27 00:00:00",511775,0,"LIBERTAD 1345",SANTIAGO
19,"2006-07-27 00:00:00",175373,0,"LIBERTAD 1345",SANTIAGO
20,"2006-07-27 00:00:00",424593,0,"LIBERTAD 1345",SANTIAGO
21,"2006-07-27 00:00:00",95310,0,"LIBERTAD 1345",SANTIAGO
22,"2006-07-27 00:00:00",387639,0,"LIBERTAD 1345",SANTIAGO
23,"2006-07-27 00:00:00",394400,0,"LIBERTAD 1345",SANTIAGO
12557,"2006-07-27 00:00:00",53163,11.6781,"FRANKLIN 987",SANTIAGO
12558,"2006-07-27 00:00:00",15552,11.678,"FRANKLIN 987",SANTIAGO
12559,"2006-07-27 00:00:00",12312,5,"EL SALTO CHICO 1439",RECOLETA
12561,"2006-07-28 00:00:00",187500,0,"CHACABUCO 373 22",22
24,"2006-07-31 00:00:00",1606106,0,"LIBERTAD 1345",SANTIAGO
25,"2006-07-31 00:00:00",840783,0,"LIBERTAD 1345",SANTIAGO
12563,"2006-08-01 00:00:00",418800,0,"SERRANO 395 3 Â° NIVEL LOCAL 307 MALL LEYAN","MALL LEYAN"
12564,"2006-08-01 00:00:00",231460,0,"CINCO ORIENTE 2138",TALCA
12566,"2006-08-02 00:00:00",1566500,0,"J WALKER MARTINES 3520 Ã‘UÃ‘OA",Ã‘UÃ‘OA
12568,"2006-08-02 00:00:00",95940,11.6781,"FREIRE 679 S BERNARDO",S.BERNARDO
12569,"2006-08-02 00:00:00",33915,5,"DIAGONAL CERVANTE 641",SANTIAGO
12570,"2006-08-03 00:00:00",279176,5.8942,"AVENIDA ALAMEDA 949 LOCAL 148 S",SANTIAGO
12571,"2006-08-03 00:00:00",18000,10,"SAN DIEGO 802",SANTIAGO
12572,"2006-08-03 00:00:00",93100,5.89403,"SAN DIEGO 815",SANTIAGO
12573,"2006-08-03 00:00:00",34800,0,"SAN DIEGO 831",SANTIAGO
12574,"2006-08-03 00:00:00",59000,0,"SAN DIEGO 835",SANTIAGO
12575,"2006-08-03 00:00:00",66000,0,"SAN DIEGO 894",SANTIAGO
12576,"2006-08-03 00:00:00",247500,0,"FRANKLIN 899",SANTIAGO
12577,"2006-08-03 00:00:00",112000,0,"AVENIDA PARRON 1845","SAN RAMON"
12578,"2006-08-03 00:00:00",275700,0,"CINCO ORIENTE 2138",TALCA
12579,"2006-08-03 00:00:00",212600,0,"MEMBRILLAR 336","LOS ANDES"
12580,"2006-08-03 00:00:00",128000,0,"FREIRE 284 11",11
12581,"2006-08-03 00:00:00",253600,0,"AHUMADA LOCAL 205 B",SANTIAGO
12582,"2006-08-03 00:00:00",464850,0,"ALAMEDA 3427 E CENTRAL",E.CENTRAL
12583,"2006-08-03 00:00:00",76770,11.6781,"FRANKLIN 987",SANTIAGO
12584,"2006-08-03 00:00:00",423500,0,"BANDERA 891",SANTIAGO
12585,"2006-08-03 00:00:00",366400,0,"ALAMEDA 3431 E CENTRAL",E.CENTRAL
12586,"2006-08-03 00:00:00",44840,5.89396,"JUAN FRANCISCO RIVAS 9595 DPTO","EL BOSQUE"
12587,"2006-08-04 00:00:00",159500,0,"ALAMEDA 3409 E CENTRAL",E.CENTRAL
12588,"2006-08-04 00:00:00",112000,0,"AVENIDA PARRON 1845","SAN RAMON"
12589,"2006-08-04 00:00:00",30240,10,"FRANKLIN 987",SANTIAGO
12590,"2006-08-04 00:00:00",41200,0,"EYZAGUIRRE 692","SAN BERNARDO"
12591,"2006-08-04 00:00:00",43500,0,"GERONIMO DE ALDERETE 1355",VITACURA
12593,"2006-08-04 00:00:00",48000,0,"SAN DIEGO 895",SANTIAGO
